Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2020,2 Ans,504,15,172812.93424749724,-0.8271870657525028
2020,3 Ans,756,1,816643.9180043298,-0.18335608199567022
2020,3 Ans,756,2,726916.8928285764,-0.2730831071714236
2020,3 Ans,756,3,660633.4155342985,-0.33936658446570145
2020,3 Ans,756,4,545556.5968563932,-0.45444340314360687
2020,3 Ans,756,5,485929.4374111755,-0.5140705625888244
2020,3 Ans,756,6,430855.19903658703,-0.569144800963413
2020,3 Ans,756,7,391846.35616032616,-0.6081536438396739
2020,3 Ans,756,8,368898.6417341687,-0.6311013582658314
2020,3 Ans,756,9,326060.06700270105,-0.6739399329972989
2020,3 Ans,756,10,300259.7276276089,-0.6997402723723911
2020,3 Ans,756,11,279998.68321996636,-0.7200013167800337
2020,3 Ans,756,12,264081.8174542483,-0.7359181825457517
2020,3 Ans,756,13,250866.89209817196,-0.749133107901828
2020,3 Ans,756,14,239216.39904267434,-0.7607836009573257
2020,3 Ans,756,15,223654.5315496497,-0.7763454684503504
2021,2 Mois,42,1,999553.7255731,-0.0004462744268999286
2021,2 Mois,42,2,952755.7651717039,-0.047244234828296094
2021,2 Mois,42,3,965034.3348042638,-0.034965665195736184
2021,2 Mois,42,4,926715.7356370031,-0.07328426436299695
2021,2 Mois,42,5,849122.589859331,-0.15087741014066902
2021,2 Mois,42,6,747745.7017744299,-0.2522542982255701
2021,2 Mois,42,7,592167.0640516066,-0.4078329359483934
2021,2 Mois,42,8,371361.2174841035,-0.6286387825158966
2021,2 Mois,42,9,131210.5194726821,-0.868789480527318
2021,2 Mois,42,10,13325.276724197522,-0.9866747232758025
2021,2 Mois,42,11,-27335.397600169144,-1.0273353976001691
2021,2 Mois,42,12,-67367.96726357954,-1.0673679672635796
2021,2 Mois,42,13,-104929.3736469093,-1.1049293736469092
2021,2 Mois,42,14,-138676.84204937806,-1.138676842049378
2021,2 Mois,42,15,-169974.26276520154,-1.1699742627652014
2021,3 Mois,63,1,1017320.9687035761,0.017320968703576023
2021,3 Mois,63,2,914768.7173037962,-0.08523128269620384
2021,3 Mois,63,3,773255.2867458015,-0.22674471325419854
2021,3 Mois,63,4,700798.8209413396,-0.2992011790586604
2021,3 Mois,63,5,603779.5978782267,-0.39622040212177334
2021,3 Mois,63,6,512310.2408381773,-0.48768975916182267
2021,3 Mois,63,7,377504.45885951153,-0.6224955411404884
2021,3 Mois,63,8,216089.66117563436,-0.7839103388243657
2021,3 Mois,63,9,59287.423399314896,-0.9407125766006851
2021,3 Mois,63,10,-79558.79339202866,-1.0795587933920288
2021,3 Mois,63,11,-131131.0395677694,-1.1311310395677694
2021,3 Mois,63,12,-122973.66378089489,-1.122973663780895
2021,3 Mois,63,13,-123997.16857049469,-1.1239971685704946
2021,3 Mois,63,14,-123933.88024557225,-1.1239338802455723
2021,3 Mois,63,15,-121552.0910174817,-1.1215520910174817
2021,6 Mois,126,1,1020486.1743210905,0.020486174321090456
2021,6 Mois,126,2,784521.0095824667,-0.21547899041753327
2021,6 Mois,126,3,613431.3017700682,-0.3865686982299318
2021,6 Mois,126,4,472035.9279582976,-0.5279640720417025
2021,6 Mois,126,5,352501.2099781965,-0.6474987900218034
2021,6 Mois,126,6,251036.91208128017,-0.7489630879187199
2021,6 Mois,126,7,206764.98944084227,-0.7932350105591577
2021,6 Mois,126,8,178949.7261665486,-0.8210502738334514
2021,6 Mois,126,9,150753.06863226814,-0.8492469313677319
2021,6 Mois,126,10,126206.47908879125,-0.8737935209112088
2021,6 Mois,126,11,107848.43060337334,-0.8921515693966267
2021,6 Mois,126,12,95020.34990076309,-0.9049796500992369
2021,6 Mois,126,13,83412.50786777385,-0.9165874921322261
2021,6 Mois,126,14,72882.632464763,-0.927117367535237
2021,6 Mois,126,15,64982.254239917245,-0.9350177457600828
2021,1 An,252,1,946047.8462091569,-0.05395215379084306
2021,1 An,252,2,833237.8968972615,-0.16676210310273853
