Annee,Fenetre_Lookback,Jours_Entrainement,Levier,Capital_Fin,Performance
2023,1 An,252,15,1286275.945260183,0.28627594526018285
2023,1.5 Ans,378,1,1035339.8754282608,0.03533987542826078
2023,1.5 Ans,378,2,1210322.28418198,0.21032228418197985
2023,1.5 Ans,378,3,1371224.9546691836,0.3712249546691835
2023,1.5 Ans,378,4,1510215.0392815238,0.5102150392815239
2023,1.5 Ans,378,5,1646245.2200809082,0.6462452200809081
2023,1.5 Ans,378,6,1763005.9011913184,0.7630059011913184
2023,1.5 Ans,378,7,1875012.5856305666,0.8750125856305666
2023,1.5 Ans,378,8,1979379.528813028,0.979379528813028
2023,1.5 Ans,378,9,2084337.6267236343,1.0843376267236344
2023,1.5 Ans,378,10,2166277.9239066327,1.1662779239066325
2023,1.5 Ans,378,11,2230538.2320327563,1.2305382320327563
2023,1.5 Ans,378,12,2264030.2495813137,1.2640302495813138
2023,1.5 Ans,378,13,2301091.816774075,1.301091816774075
2023,1.5 Ans,378,14,2334766.8148677535,1.3347668148677534
2023,1.5 Ans,378,15,2345593.3509338596,1.3455933509338598
2023,2 Ans,504,1,1083391.3305190615,0.08339133051906145
2023,2 Ans,504,2,1254687.126061238,0.2546871260612382
2023,2 Ans,504,3,1419390.4839342379,0.41939048393423795
2023,2 Ans,504,4,1588311.6761490053,0.5883116761490053
2023,2 Ans,504,5,1713972.9538445484,0.7139729538445485
2023,2 Ans,504,6,1821031.434709691,0.821031434709691
2023,2 Ans,504,7,1942718.2005431543,0.9427182005431542
2023,2 Ans,504,8,2083981.7928856409,1.0839817928856408
2023,2 Ans,504,9,2234439.523404824,1.234439523404824
2023,2 Ans,504,10,2391695.9279344664,1.3916959279344665
2023,2 Ans,504,11,2549863.1135890298,1.54986311358903
2023,2 Ans,504,12,2690324.2985999216,1.6903242985999216
2023,2 Ans,504,13,2822293.02945335,1.8222930294533501
2023,2 Ans,504,14,2958326.6031294214,1.9583266031294215
2023,2 Ans,504,15,3101245.9329642304,2.1012459329642303
2023,3 Ans,756,1,1095873.1680955265,0.09587316809552648
2023,3 Ans,756,2,1242210.5301950795,0.24221053019507943
2023,3 Ans,756,3,1438373.7271125054,0.43837372711250544
2023,3 Ans,756,4,1671806.320840765,0.671806320840765
2023,3 Ans,756,5,1928540.6688800384,0.9285406688800384
2023,3 Ans,756,6,2180567.4097859575,1.1805674097859575
2023,3 Ans,756,7,2379971.0248581734,1.3799710248581736
2023,3 Ans,756,8,2520640.155863323,1.520640155863323
2023,3 Ans,756,9,2651878.592999178,1.6518785929991782
2023,3 Ans,756,10,2755081.080061671,1.7550810800616707
2023,3 Ans,756,11,2861264.667698853,1.8612646676988533
2023,3 Ans,756,12,2965387.511560597,1.9653875115605972
2023,3 Ans,756,13,3003339.0992112,2.0033390992112
2023,3 Ans,756,14,3037618.325721586,2.0376183257215863
2023,3 Ans,756,15,3043370.24413769,2.04337024413769
2024,2 Mois,42,1,972949.9160162776,-0.02705008398372233
2024,2 Mois,42,2,805239.4829531981,-0.19476051704680186
2024,2 Mois,42,3,665149.5006454113,-0.33485049935458866
2024,2 Mois,42,4,623663.351989554,-0.376336648010446
2024,2 Mois,42,5,588610.1342841132,-0.41138986571588676
2024,2 Mois,42,6,571480.455528258,-0.428519544471742
2024,2 Mois,42,7,550393.5304646736,-0.44960646953532635
2024,2 Mois,42,8,534360.8284638461,-0.46563917153615386
2024,2 Mois,42,9,520003.01771404775,-0.4799969822859522
2024,2 Mois,42,10,511304.0801099042,-0.48869591989009586
2024,2 Mois,42,11,505652.9467004237,-0.4943470532995763
2024,2 Mois,42,12,499785.1866461599,-0.5002148133538401
2024,2 Mois,42,13,502719.97484837705,-0.49728002515162295
2024,2 Mois,42,14,507225.45115978253,-0.49277454884021743
2024,2 Mois,42,15,511585.69162423036,-0.4884143083757696
2024,3 Mois,63,1,941082.6086544198,-0.05891739134558027
2024,3 Mois,63,2,757682.1223513061,-0.24231787764869384
2024,3 Mois,63,3,605713.8719375384,-0.39428612806246166
2024,3 Mois,63,4,563918.4750993203,-0.43608152490067975
2024,3 Mois,63,5,537800.6906828551,-0.4621993093171449
2024,3 Mois,63,6,507236.3596801511,-0.4927636403198489
2024,3 Mois,63,7,478448.02342489135,-0.5215519765751087
2024,3 Mois,63,8,447125.8376098421,-0.5528741623901579
